Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
ND_PM1205	99.99	0.03	Neural Network (Specific Model)	11	0.872	4249638	322.248481781377	4375629	0.57	3952	2	4249638	None
ND_PM1206	100	0.01	Neural Network (Specific Model)	11	0.874	4299463	317.368523002421	4492083	0.57	4130	3	4299463	None
ND_PM1207	100	0.04	Neural Network (Specific Model)	11	0.873	4364183	317.137357414449	4576533	0.57	4208	3	4364183	None
ND_PM1212	99.99	1.33	Neural Network (Specific Model)	11	0.88	502728	317.513145756458	4685566	0.57	4336	33	866157	None
ND_PM1214	99.98	1.15	Neural Network (Specific Model)	11	0.88	156656	317.215369554577	4410040	0.57	4086	62	432045	None
ND_PM1216	99.99	0.2	Neural Network (Specific Model)	11	0.88	210152	317.310011778563	4583025	0.57	4245	60	528903	None
ND_PM1222	100	0.62	Neural Network (Specific Model)	11	0.879	226128	312.563080407701	4701133	0.57	4415	79	442633	None
ND_PM1229	99.99	0.81	Neural Network (Specific Model)	11	0.879	266490	319.285338435781	4549241	0.57	4181	40	1019574	None
ND_PM1230	100	0.95	Neural Network (Specific Model)	11	0.877	232281	314.982882257691	4649592	0.57	4323	46	458202	None
ND_PM1252	100	0.07	Neural Network (Specific Model)	11	0.876	563439	316.079207920792	4584099	0.57	4242	21	1337841	None
ND_PM1253	100	0.01	Neural Network (Specific Model)	11	0.876	393739	318.875987550874	4552424	0.57	4177	24	875805	None
ND_PM1262	99.99	0.05	Neural Network (Specific Model)	11	0.876	241253	316.026597007837	4551963	0.57	4211	40	492508	None
ND_PM1263	100	0.14	Neural Network (Specific Model)	11	0.876	644480	316.55812831645	4485636	0.57	4146	34	1991729	None
ND_PM1280	100	0.05	Neural Network (Specific Model)	11	0.875	512586	322.454906832298	4442263	0.57	4025	28	964915	None
ND_PM1294	100	0.21	Neural Network (Specific Model)	11	0.876	102830	313.677339901478	4786658	0.57	4466	177	317119	None
ND_PM1295	99.99	0.46	Neural Network (Specific Model)	11	0.876	226628	313.750674460432	4769786	0.57	4448	64	623461	None
ND_PM1306	99.99	1.19	Neural Network (Specific Model)	11	0.873	182602	315.368554913295	4682396	0.58	4325	101	418310	None
ND_PM1308	100	2.6	Neural Network (Specific Model)	11	0.879	498171	318.453557078705	4593641	0.57	4231	34	813775	None
ND_PM1317	100	1.14	Neural Network (Specific Model)	11	0.881	112088	320.582723625207	4615544	0.58	4237	101	265199	None
ND_PM1320	99.99	0.74	Neural Network (Specific Model)	11	0.879	222056	320.879751374612	4574564	0.57	4183	51	366809	None
ND_PM1321	100	0.01	Neural Network (Specific Model)	11	0.857	4526300	313.504398148148	4733612	0.57	4320	4	4526300	None
ND_PM1322	100	0.02	Neural Network (Specific Model)	11	0.856	4449210	313.187587168759	4711826	0.57	4302	4	4449210	None
ND_PM1324	100	1.88	Neural Network (Specific Model)	11	0.876	231516	316.037461952704	4613327	0.57	4271	45	558494	None
ND_PM1331	99.99	0.47	Neural Network (Specific Model)	11	0.879	374993	318.642857142857	4453974	0.57	4102	30	528505	None
ND_PM1375	100	0.05	Neural Network (Specific Model)	11	0.878	312479	318.53161868806	4606738	0.57	4238	55	743749	None
ND_PM1376	100	0.05	Neural Network (Specific Model)	11	0.878	352003	318.555922605002	4607197	0.57	4238	54	743799	None
ND_PM1382	99.99	1.59	Neural Network (Specific Model)	11	0.88	276472	317.592035193332	4666477	0.57	4319	45	510907	None
ND_PM1385	99.99	1.52	Neural Network (Specific Model)	11	0.879	358406	318.473284255521	4571884	0.57	4211	53	755094	None
ND_PM1386	99.99	0.94	Neural Network (Specific Model)	11	0.878	374993	317.099522673031	4533302	0.57	4190	30	708716	None
ND_PM1387	99.99	1.04	Neural Network (Specific Model)	11	0.879	101875	318.817286382664	4411611	0.57	4061	102	244000	None
ND_PM1391	99.98	3.18	Neural Network (Specific Model)	11	0.88	248113	319.784765068818	4587160	0.57	4214	46	396996	None
ND_PM1395	100	0.64	Neural Network (Specific Model)	11	0.879	554414	319.334745762712	4620794	0.57	4248	34	1062803	None
ND_PM1396	100	0.09	Neural Network (Specific Model)	11	0.875	362867	316.200141276195	4597531	0.57	4247	40	827797	None
ND_PM1420	100	1.33	Neural Network (Specific Model)	11	0.876	113663	322.055460958404	4529214	0.57	4111	89	339646	None
ND_PM1433	100	0.05	Neural Network (Specific Model)	11	0.879	282935	321.280810488677	4594699	0.58	4195	46	579840	None
ND_PM1437	99.99	2.45	Neural Network (Specific Model)	11	0.879	205395	316.071185672183	4748148	0.57	4411	65	556662	None
ND_PM1439	100	0.39	Neural Network (Specific Model)	11	0.88	88874	316.297348040366	4585151	0.57	4261	133	315434	None
ND_PM1448	100	0.42	Neural Network (Specific Model)	11	0.878	113775	317.467734225621	4531172	0.57	4184	70	363143	None
ND_PM1449	100	0.65	Neural Network (Specific Model)	11	0.877	168602	316.956994328923	4579092	0.57	4232	59	788696	None
ND_PM1452	100	0.58	Neural Network (Specific Model)	11	0.879	281729	319.367026496565	4437700	0.57	4076	40	815837	None
ND_PM1461	99.99	2.37	Neural Network (Specific Model)	11	0.88	554987	316.811303344867	4675410	0.57	4335	49	796870	None
ND_PM1476	99.99	0.55	Neural Network (Specific Model)	11	0.877	246587	319.762747875354	4627529	0.57	4236	54	474137	None
ND_PM1481	99.99	0.98	Neural Network (Specific Model)	11	0.88	276062	318.070553650171	4417890	0.57	4082	39	549653	None
ND_PM1487	100	0.9	Neural Network (Specific Model)	11	0.883	439665	325.94229816741	4462931	0.57	4038	31	847995	None
ND_PM1488	100	0.06	Neural Network (Specific Model)	11	0.876	548815	320.970660749507	4449101	0.57	4056	27	1400692	None
ND_PM1491	99.99	0.81	Neural Network (Specific Model)	11	0.879	266490	319.285338435781	4549241	0.57	4181	40	1019574	None
ND_PM1492	100	0.33	Neural Network (Specific Model)	11	0.874	390450	316.624323688544	4612959	0.57	4251	25	618355	None
ND_PM1495	100	0.04	Neural Network (Specific Model)	11	0.876	643311	319.313505607021	4479828	0.57	4102	30	1244024	None
ND_PM1496	100	0.06	Neural Network (Specific Model)	11	0.877	277960	319.262147716229	4489869	0.57	4116	32	534281	None
ND_PM1501	99.99	1	Neural Network (Specific Model)	11	0.882	88158	316.451597633136	4540379	0.57	4225	125	220249	None
ND_PM1503	100	0.06	Neural Network (Specific Model)	11	0.876	92677	310.555555555556	4564795	0.57	4302	102	276720	None
ND_PM1504	99.99	0.7	Neural Network (Specific Model)	11	0.878	126632	313.892225325885	4600141	0.57	4296	102	389900	None
ND_PM1507	100	0.46	Neural Network (Specific Model)	11	0.875	4217987	321.708870168484	4444303	0.57	4036	3	4217987	None
ND_PM1513	100	0.44	Neural Network (Specific Model)	11	0.88	169937	319.821901323706	4523105	0.57	4155	63	378427	None
ND_PM1514	99.99	0.39	Neural Network (Specific Model)	11	0.878	309543	317.930886558627	4549843	0.57	4196	38	888339	None
ND_PM1515	100	0.63	Neural Network (Specific Model)	11	0.879	228773	316.026028352312	4634864	0.57	4303	64	374393	None
ND_PM1516	100	0.41	Neural Network (Specific Model)	11	0.878	327150	318.940225379716	4440683	0.57	4082	38	546832	None
ND_PM1520	100	0.29	Neural Network (Specific Model)	11	0.879	137497	315.691608893139	4501329	0.57	4183	88	314160	None
ND_PM1522	100	0.41	Neural Network (Specific Model)	11	0.88	233677	316.849439274636	4520356	0.57	4191	48	543165	None
ND_PM1526	99.97	0.32	Neural Network (Specific Model)	11	0.873	243063	313.586478738653	4504785	0.57	4186	58	562465	None
ND_PM1528	100	1.86	Neural Network (Specific Model)	11	0.879	530934	323.841090738129	4694039	0.58	4254	21	1055913	None
ND_PM1533	100	0.03	Neural Network (Specific Model)	11	0.876	4291284	322.024900398406	4420313	0.57	4016	2	4291284	None
ND_PM1537	100	0.9	Neural Network (Specific Model)	11	0.882	373803	322.283902439024	4485581	0.57	4100	30	841260	None
ND_PM1546	100	2.2	Neural Network (Specific Model)	11	0.883	477686	325.116245136187	4537225	0.58	4112	32	811791	None
ND_PM1547	100	1.5	Neural Network (Specific Model)	11	0.879	350870	319.944418386492	4649597	0.58	4264	34	924608	None
ND_PM1555	99.99	0.97	Neural Network (Specific Model)	11	0.879	333944	322.885555286717	4546649	0.58	4133	27	712065	None
ND_PM1559	100	0	Neural Network (Specific Model)	11	0.856	4532538	314.048167780595	4768277	0.57	4339	3	4532538	None
ND_PM1570	100	0.05	Neural Network (Specific Model)	11	0.882	267914	321.699038698546	4432885	0.57	4057	72	472739	None
ND_PM1575	99.99	0.06	Neural Network (Specific Model)	11	0.879	667577	319.189701238766	4478545	0.57	4117	16	1007847	None
ND_PM1576	100	0.06	Neural Network (Specific Model)	11	0.882	617234	320.056735876388	4499422	0.57	4142	17	1008239	None
ND_PM1577	94.33	0.07	Neural Network (Specific Model)	11	0.88	595540	324.498536844906	4151440	0.57	3759	8	1939959	None
ND_PM1578	99.98	0.08	Neural Network (Specific Model)	11	0.879	993127	322.612790407195	4400037	0.57	4003	13	1357476	None
ND_PM1579	100	0.79	Neural Network (Specific Model)	11	0.877	656895	320.274083129584	4473664	0.57	4090	19	1024417	None
ND_PM1580	100	0.05	Neural Network (Specific Model)	11	0.878	1044986	319.770330211927	4424424	0.57	4058	12	1283236	None
ND_PM1587	96.57	0.07	Neural Network (Specific Model)	11	0.88	580503	322.26389572061	4459804	0.57	4066	12	824612	None
ND_PM1591	100	0.41	Neural Network (Specific Model)	11	0.877	212808	319.336263736264	4467803	0.57	4095	56	633788	None
ND_PM1596	99.99	0.38	Neural Network (Specific Model)	11	0.876	332755	320.143628774859	4456272	0.57	4073	46	533571	None
ND_PM1597	100	0.23	Neural Network (Specific Model)	11	0.876	241154	319.585485854859	4439608	0.57	4065	55	592955	None
ND_PM1599	100	0.38	Neural Network (Specific Model)	11	0.876	316618	320.663062177439	4459104	0.57	4069	44	597214	None
ND_PM1600	100	0.43	Neural Network (Specific Model)	11	0.877	147551	320.145506419401	4597345	0.57	4206	59	673357	None
ND_PM1602	100	1.07	Neural Network (Specific Model)	11	0.879	212206	311.79197080292	4655248	0.57	4384	47	450332	None
ND_PM1606	100	0.49	Neural Network (Specific Model)	11	0.874	4258131	318.072467166979	4645749	0.57	4264	5	4258131	None
ND_PM1629	100	2.06	Neural Network (Specific Model)	11	0.877	506051	321.785404624277	4563068	0.57	4152	26	1191408	None
ND_PM1631	99.99	4.67	Neural Network (Specific Model)	11	0.878	379942	317.409007773205	4737872	0.57	4374	33	667855	None
ND_PM1633	100	0.93	Neural Network (Specific Model)	11	0.876	102951	313.828517290384	4530879	0.57	4222	79	277750	None
ND_PM1634	100	0.35	Neural Network (Specific Model)	11	0.879	144748	318.871504339441	4507879	0.57	4148	71	382376	None
ND_PM1636	100	0.37	Neural Network (Specific Model)	11	0.88	136288	323.157510080645	4363290	0.57	3968	67	329910	None
ND_PM1663	100	0.6	Neural Network (Specific Model)	11	0.876	470914	315.269276677011	4515439	0.57	4189	37	2142140	None
ND_PM1680	100	1.12	Neural Network (Specific Model)	11	0.87	4309604	319.716076696165	4475217	0.57	4068	2	4309604	None
ND_PM1681	100	0.02	Neural Network (Specific Model)	11	0.876	345756	317.013064133017	4565473	0.57	4210	39	598080	None
ND_PM1682	99.99	0.08	Neural Network (Specific Model)	11	0.872	4371138	315.931051108968	4500765	0.57	4148	2	4371138	None
ND_PM1683	100	0.1	Neural Network (Specific Model)	11	0.874	4460132	318.390232337601	4601927	0.57	4218	2	4460132	None
ND_PM1684	100	0.02	Neural Network (Specific Model)	11	0.871	4367612	325.493890518084	4576952	0.58	4092	3	4367612	None
ND_PM1685	100	0.05	Neural Network (Specific Model)	11	0.871	4458309	312.129545994771	4516740	0.57	4207	2	4458309	None
ND_PM1688	99.99	0.03	Neural Network (Specific Model)	11	0.873	4246502	323.419403739262	4393302	0.57	3958	2	4246502	None
ND_PM1689	100	0.61	Neural Network (Specific Model)	11	0.877	278534	309.874640725182	4786106	0.56	4523	164	496454	None
ND_PM1694	100	0.04	Neural Network (Specific Model)	11	0.876	357751	324.801385110067	4490089	0.58	4043	42	874842	None
ND_PM1701	100	0.58	Neural Network (Specific Model)	11	0.873	4350614	314.130927105449	4569540	0.57	4239	3	4350614	None
ND_PM1715	100	0.06	Neural Network (Specific Model)	11	0.878	526913	315.163359148112	4444610	0.57	4132	84	1457596	None
ND_PM1719	100	0.11	Neural Network (Specific Model)	11	0.868	524453	307.653529666522	4902417	0.56	4618	67	1334544	None
ND_PM1723	100	0.05	Neural Network (Specific Model)	11	0.881	1051024	324.405143875732	4332284	0.57	3927	27	1229572	None
ND_PM1727	100	0.04	Neural Network (Specific Model)	11	0.87	4317499	315.955409356725	4463368	0.57	4104	4	4317499	None
