Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
ND_NC2355	99.99	5.38	Neural Network (Specific Model)	11	0.88	361448	322.071094480823	4685627	0.57	4276	52	688292	None
ND_NC2369	99.97	7.88	Neural Network (Specific Model)	11	0.88	275286	316.172686230248	4768545	0.57	4430	39	532214	None
ND_NC2406	99.91	9.64	Neural Network (Specific Model)	11	0.879	280435	317.399249613772	4897923	0.57	4531	50	484970	None
ND_NC2407	99.99	6.58	Neural Network (Specific Model)	11	0.879	267901	318.292559063811	4914257	0.57	4529	51	599555	None
ND_NC2408	99.97	5.76	Neural Network (Specific Model)	11	0.882	191422	326.531940733544	4564429	0.57	4117	43	749104	None
ND_NC2409	99.97	8.89	Neural Network (Specific Model)	11	0.878	232326	317.919112704459	4838621	0.57	4463	51	546155	None
ND_NC2528	99.99	7.23	Neural Network (Specific Model)	11	0.88	512662	322.204320845783	4770188	0.57	4351	34	1019099	None
ND_NC2552	99.99	5.55	Neural Network (Specific Model)	11	0.881	543463	319.663765460376	4746341	0.57	4366	33	793520	None
ND_NC2632	99.99	5.43	Neural Network (Specific Model)	11	0.88	333251	317.957673208796	4576403	0.57	4229	55	626849	None
ND_NC2643	99.99	5.44	Neural Network (Specific Model)	11	0.878	164972	317.387330528284	4631741	0.57	4278	52	524356	None
ND_NC2694	88.8	0.5	Neural Network (Specific Model)	11	0.882	15754	306.795616717635	4089414	0.57	3924	349	74192	None
ND_NC2697	94.68	6.63	Neural Network (Specific Model)	11	0.855	4789374	231.130152547874	4985543	0.56	6162	569	4789374	None
ND_NC2698	93.14	6.02	Neural Network (Specific Model)	11	0.85	4610279	215.521582733813	4850447	0.56	6394	768	4610279	None
ND_NC2749	77.74	0.09	Neural Network (Specific Model)	11	0.855	11551	272.143900459832	3520600	0.57	3697	409	46688	None
ND_NC2772	89.81	0.41	Neural Network (Specific Model)	11	0.868	12610	279.778654177964	3915766	0.57	4057	471	49500	None
ND_NC2773	85.65	2.57	Neural Network (Specific Model)	11	0.864	13612	278.800754716981	3837494	0.57	3975	392	53893	None
ND_NC2774	73.99	3.89	Neural Network (Specific Model)	11	0.888	3009	254.383349705305	3491229	0.58	4072	1334	17044	None
ND_PM0006	95.47	5.84	Neural Network (Specific Model)	11	0.86	4491128	260.089516610304	4553920	0.57	5027	171	4491128	None
ND_PM0015	100	13.32	Neural Network (Specific Model)	11	0.854	529229	258.147603227337	5718477	0.53	6321	1779	2007809	None
ND_PM0021	90.7	5.09	Neural Network (Specific Model)	11	0.855	4685300	225.16203243959	4764789	0.57	6042	427	4685300	None
ND_PM0055	100	5.9	Neural Network (Specific Model)	11	0.882	138330	319.973196881092	4458306	0.57	4104	75	396846	None
ND_PM0075	99.98	11.41	Neural Network (Specific Model)	11	0.881	643720	319.736889087257	4870960	0.57	4481	21	1274703	None
ND_PM0079	99.99	6.15	Neural Network (Specific Model)	11	0.879	302621	314.239035087719	4881194	0.57	4560	58	1453619	None
ND_PM0101	87.4	1.43	Neural Network (Specific Model)	11	0.985	3312282	270.045928500497	3312282	0.58	4028	1	3312282	None
ND_PM0120	99.99	7.41	Neural Network (Specific Model)	11	0.879	581991	318.572926162261	4761492	0.57	4388	20	1276881	None
ND_PM0146	100	6.2	Neural Network (Specific Model)	11	0.867	267207	215.819755058573	5595266	0.57	7512	3166	1387575	None
ND_PM0181	100	21.41	Neural Network (Specific Model)	11	0.87	115238	173.154333008763	7341510	0.56	12324	7497	429475	None
ND_PM0204	100	9.87	Neural Network (Specific Model)	11	0.861	259500	178.636263845924	6224333	0.57	10021	5990	748833	None
ND_PM0206	100	10.76	Neural Network (Specific Model)	11	0.869	185903	201.282325684025	6284638	0.57	9064	4499	507426	None
ND_PM0437	100	7.99	Neural Network (Specific Model)	11	0.877	573038	319.288055093802	4591827	0.57	4211	27	1230157	None
ND_PM0484	99.98	6.91	Neural Network (Specific Model)	11	0.877	563842	317.500564206725	4804789	0.57	4431	25	1610877	None
ND_PM0486	77.74	0.09	Neural Network (Specific Model)	11	0.856	11551	272.118712817739	3520600	0.57	3698	409	46688	None
ND_PM0487	85.7	1.43	Neural Network (Specific Model)	11	0.879	103164	322.867741935484	3750688	0.57	3410	52	376796	None
ND_PM0688	99.99	6.39	Neural Network (Specific Model)	11	0.878	344385	317.765878230399	4951617	0.57	4566	28	1264149	None
ND_PM0793	99.99	6.64	Neural Network (Specific Model)	11	0.881	563217	321.788557806913	4589915	0.57	4195	33	1018901	None
ND_PM0915	100	5.09	Neural Network (Specific Model)	11	0.876	202986	308.649084568439	4841000	0.58	4588	317	553688	None
ND_PM1036	99.99	9.03	Neural Network (Specific Model)	11	0.882	555060	322.361186594203	4835036	0.57	4416	45	840630	None
ND_PM1044	99.99	5.68	Neural Network (Specific Model)	11	0.882	367696	319.965140599582	4677745	0.57	4303	31	1534755	None
ND_PM1086	99.85	9.29	Neural Network (Specific Model)	11	0.879	328243	313.760119301236	5016653	0.57	4694	54	529644	None
ND_PM1109	99.99	5.02	Neural Network (Specific Model)	11	0.88	163156	312.035291489837	4757068	0.57	4477	82	343891	None
ND_PM1116	100	7.83	Neural Network (Specific Model)	11	0.882	275173	320.938971229294	4997100	0.57	4588	55	434921	None
ND_PM1120	99.99	9.96	Neural Network (Specific Model)	11	0.882	624240	317.252136752137	5043924	0.57	4680	32	1070906	None
ND_PM1124	99.98	7.67	Neural Network (Specific Model)	11	0.88	599338	321.417115902965	4871186	0.57	4452	27	1331870	None
ND_PM1130	99.99	10.25	Neural Network (Specific Model)	11	0.878	380622	314.356944147229	5009480	0.57	4673	58	856205	None
ND_PM1136	99.98	5.97	Neural Network (Specific Model)	11	0.879	141632	315.471357002832	4935758	0.57	4591	76	413025	None
ND_PM1137	99.99	6.06	Neural Network (Specific Model)	11	0.88	165007	317.077192982456	4920799	0.57	4560	94	406323	None
ND_PM1153	100	5.7	Neural Network (Specific Model)	11	0.881	304213	319.353548966757	4833952	0.57	4452	48	665859	None
ND_PM1163	99.99	7.8	Neural Network (Specific Model)	11	0.882	624191	317.371967071057	4973332	0.57	4616	35	1065567	None
ND_PM1180	8.68	0	Neural Network (Specific Model)	11	1223.925	212	270.028806584362	212	0.52	243	1	212	None
ND_PM1181	4.02	0	Neural Network (Specific Model)	11	737.35	203	253.635714285714	203	0.53	140	1	203	None
ND_PM1182	8.59	0	Neural Network (Specific Model)	11	1883.075	212	311.161137440758	212	0.62	422	1	212	None
ND_PM1183	7.15	0	Neural Network (Specific Model)	11	1683.27	204	283.525974025974	204	0.51	308	1	204	None
ND_PM1235	80.49	0.21	Neural Network (Specific Model)	11	0.873	791077	308.213522103438	3656813	0.57	3461	38	1068390	None
ND_PM1237	99.99	7.48	Neural Network (Specific Model)	11	0.877	633009	318.844434409573	4824882	0.57	4429	18	1101996	None
ND_PM1238	100	5.83	Neural Network (Specific Model)	11	0.876	549069	317.370066164727	4753179	0.57	4383	22	1094894	None
ND_PM1242	100	7.76	Neural Network (Specific Model)	11	0.876	562837	316.251871422281	4911735	0.57	4542	30	1121401	None
ND_PM1247	95.98	16.19	Neural Network (Specific Model)	11	0.88	628574	322.965954606142	4938336	0.57	4494	11	1148729	None
ND_PM1279	86.75	0.04	Neural Network (Specific Model)	11	0.872	346477	317.404695360537	3900580	0.57	3578	30	671615	None
ND_PM1309	99.98	5.26	Neural Network (Specific Model)	11	0.88	369207	317.698993595608	4725759	0.57	4372	43	510907	None
ND_PM1380	99.98	5.26	Neural Network (Specific Model)	11	0.88	369207	317.698993595608	4725759	0.57	4372	43	510907	None
ND_PM1510	6.43	0	Neural Network (Specific Model)	11	1061.299	201	302.252688172043	201	0.54	186	1	201	None
ND_PM1511	5.59	0	Neural Network (Specific Model)	11	1103.108	204	282.009661835749	204	0.53	207	1	204	None
ND_PM1574	94.02	6.39	Neural Network (Specific Model)	11	0.877	612467	315.70244369909	4500298	0.57	4174	11	1006272	None
ND_PM1581	98.46	6.35	Neural Network (Specific Model)	11	0.878	803241	323.362620997766	4442868	0.57	4029	10	1454813	None
ND_PM1608	99.99	6.02	Neural Network (Specific Model)	11	0.876	260611	314.308153743613	4834799	0.57	4501	35	583862	None
ND_PM1627	99.97	11.46	Neural Network (Specific Model)	11	0.879	529016	318.280216216216	5018464	0.57	4625	24	1062110	None
