Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
ND_NC0038	100	0.04	Neural Network (Specific Model)	11	0.869	539173	318.202343177935	4490532	0.58	4097	18	1050401	None
ND_NC0039	100	0.01	Neural Network (Specific Model)	11	0.863	383451	313.663646922183	4687490	0.57	4305	47	736839	None
ND_NC0040	100	0.02	Neural Network (Specific Model)	11	0.876	2333811	322.665186281767	4470511	0.58	4053	20	2333811	None
ND_NC0041	100	0.02	Neural Network (Specific Model)	11	0.856	4449210	313.187587168759	4711826	0.57	4302	4	4449210	None
ND_NC0042	100	0.01	Neural Network (Specific Model)	11	0.857	4526300	313.504398148148	4733612	0.57	4320	4	4526300	None
ND_NC0043	100	0.01	Neural Network (Specific Model)	11	0.879	465046	324.247697286532	4438460	0.58	4017	25	1620317	None
ND_NC0044	100	0.02	Neural Network (Specific Model)	11	0.878	1064873	321.791033806957	4482792	0.58	4082	30	1247316	None
ND_NC0045	100	0.03	Neural Network (Specific Model)	11	0.875	353776	320.367713004484	4646335	0.58	4237	30	866696	None
ND_NC0046	100	0.71	Neural Network (Specific Model)	11	0.872	329388	320.157944365865	4662366	0.58	4242	33	609395	None
ND_NC0047	100	0.04	Neural Network (Specific Model)	11	0.88	257550	320.512550800861	4562507	0.58	4183	55	999716	None
ND_NC0048	99.99	0.15	Neural Network (Specific Model)	11	0.873	393941	319.722437137331	4537362	0.58	4136	33	604788	None
ND_NC0049	100	0.03	Neural Network (Specific Model)	11	0.876	379368	322.896670776819	4478556	0.58	4055	31	1018571	None
ND_NC0050	99.96	0.46	Neural Network (Specific Model)	11	0.88	48609	312.105974395448	4478662	0.58	4218	187	208541	None
ND_NC0051	100	0.02	Neural Network (Specific Model)	11	0.879	469310	320.387987406152	4505772	0.58	4129	43	820002	None
ND_NC0052	100	0.06	Neural Network (Specific Model)	11	0.88	350801	318.676096181047	4599959	0.58	4242	36	822068	None
ND_NC0053	99.99	0.02	Neural Network (Specific Model)	11	0.872	640330	319.017283349562	4502082	0.58	4108	63	1715650	None
ND_NC0054	100	0.2	Neural Network (Specific Model)	11	0.873	192043	315.417800322804	4692886	0.58	4337	54	434742	None
ND_NC0055	100	0.05	Neural Network (Specific Model)	11	0.873	324528	316.125346901018	4690887	0.58	4324	41	557279	None
ND_NC0056	100	0.09	Neural Network (Specific Model)	11	0.876	194634	320.792523364486	4694737	0.58	4280	44	424166	None
ND_NC0057	100	0.03	Neural Network (Specific Model)	11	0.878	270574	323.983223924143	4544479	0.58	4113	41	453801	None
ND_NC0058	100	0.05	Neural Network (Specific Model)	11	0.878	282935	321.371571667064	4594699	0.58	4193	46	579840	None
ND_NC0059	100	0.35	Neural Network (Specific Model)	11	0.88	509816	319.659594530882	4617553	0.58	4242	30	1388673	None
ND_NC0060	100	0.01	Neural Network (Specific Model)	11	0.864	322103	313.549799858724	4616699	0.58	4247	35	787735	None
ND_NC0061	100	0	Neural Network (Specific Model)	11	0.856	4532538	314.048167780595	4768277	0.57	4339	3	4532538	None
ND_NC0062	100	0.02	Neural Network (Specific Model)	11	0.871	4367612	325.493890518084	4576952	0.58	4092	3	4367612	None
ND_NC0063	100	0.05	Neural Network (Specific Model)	11	0.879	282935	321.280810488677	4594699	0.58	4195	46	579840	None
ND_NC0064	100	0.04	Neural Network (Specific Model)	11	0.876	805486	322.26036809816	4491274	0.58	4075	25	1630747	None
ND_NC0066	100	0.03	Neural Network (Specific Model)	11	0.878	1065117	322.243256498283	4484640	0.58	4078	24	1315458	None
ND_NC0067	100	0.05	Neural Network (Specific Model)	11	0.884	359501	322.231164823862	4246034	0.58	3889	29	888434	None
ND_NC0068	100	2.61	Neural Network (Specific Model)	11	0.877	260336	323.292322141348	4704069	0.58	4259	37	591686	None
ND_NC0069	99.99	1.19	Neural Network (Specific Model)	11	0.873	182602	315.368554913295	4682396	0.58	4325	101	418310	None
ND_NC0070	100	1.04	Neural Network (Specific Model)	11	0.875	189436	322.121634615385	4585671	0.58	4160	61	322958	None
ND_NC0071	100	0.24	Neural Network (Specific Model)	11	0.877	139842	318.745343079462	4614864	0.58	4241	76	402024	None
ND_NC0072	100	1.14	Neural Network (Specific Model)	11	0.881	112088	320.582723625207	4615544	0.58	4237	101	265199	None
ND_NC0073	100	0.92	Neural Network (Specific Model)	11	0.88	199012	320.204149773432	4568733	0.58	4193	69	576806	None
ND_NC0074	100	0.6	Neural Network (Specific Model)	11	0.873	211635	317.562588235294	4631187	0.58	4250	60	539847	None
ND_NC0075	100	3.4	Neural Network (Specific Model)	11	0.88	381333	322.820906087777	4654858	0.58	4238	35	878776	None
ND_NC0076	100	1.5	Neural Network (Specific Model)	11	0.882	459772	325.910769968817	4615526	0.58	4169	32	849455	None
ND_NC0077	100	1.4	Neural Network (Specific Model)	11	0.88	598084	322.951754385965	4508627	0.58	4104	24	889508	None
ND_NC0078	100	0.02	Neural Network (Specific Model)	11	0.873	348291	320.151674641148	4588628	0.58	4180	24	1187153	None
ND_NC0079	99.99	0.5	Neural Network (Specific Model)	11	0.879	355659	323.877912621359	4549550	0.58	4120	31	786026	None
ND_NC0080	100	1.31	Neural Network (Specific Model)	11	0.879	357970	319.978179258564	4645111	0.58	4262	41	684840	None
ND_NC0081	100	2.2	Neural Network (Specific Model)	11	0.883	477686	325.116245136187	4537225	0.58	4112	32	811791	None
ND_NC0082	100	1.5	Neural Network (Specific Model)	11	0.879	350870	319.944418386492	4649597	0.58	4264	34	924608	None
ND_NC0083	100	0.81	Neural Network (Specific Model)	11	0.881	308851	322.665612840467	4512734	0.58	4112	39	540337	None
ND_NC0084	100	0.37	Neural Network (Specific Model)	11	0.871	307215	318.266698359876	4602228	0.58	4207	41	559525	None
ND_NC0085	99.99	0.97	Neural Network (Specific Model)	11	0.879	333944	322.885555286717	4546649	0.58	4133	27	712065	None
ND_NC0086	100	0.42	Neural Network (Specific Model)	11	0.867	205855	314.621829183151	4672952	0.58	4297	90	455283	None
ND_NC0087	100	0.8	Neural Network (Specific Model)	11	0.866	233398	311.452909817859	4849881	0.57	4502	49	578372	None
ND_NC0088	100	1.48	Neural Network (Specific Model)	11	0.883	99538	320.806236610331	4573676	0.58	4201	99	253367	None
ND_NC0089	100	0.6	Neural Network (Specific Model)	11	0.861	228754	310.780872998465	4925856	0.57	4559	68	534360	None
ND_NC0090	100	0.18	Neural Network (Specific Model)	11	0.865	227701	314.79671979672	4717897	0.58	4329	74	579540	None
ND_NC0091	100	0.18	Neural Network (Specific Model)	11	0.864	174643	312.800472813239	4586485	0.57	4230	88	391569	None
ND_NC0093	100	0.33	Neural Network (Specific Model)	11	0.866	233191	310.938249666815	4843795	0.57	4502	63	578372	None
ND_NC0094	100	0.19	Neural Network (Specific Model)	11	0.873	238768	320.698942815954	4578024	0.58	4162	54	594243	None
ND_NC0095	100	0.98	Neural Network (Specific Model)	11	0.88	272824	319.929148834998	4581425	0.58	4206	46	538195	None
ND_NC0096	100	0.23	Neural Network (Specific Model)	11	0.873	141512	320.75161831695	4588507	0.58	4171	63	374665	None
ND_NC0097	100	0.22	Neural Network (Specific Model)	11	0.881	173999	320.866181818182	4497329	0.58	4125	51	395990	None
ND_NC0098	100	0.46	Neural Network (Specific Model)	11	0.865	349437	309.615418213584	4910281	0.57	4579	35	703299	None
ND_NC0099	100	2.75	Neural Network (Specific Model)	11	0.88	206639	324.621288921072	4578481	0.58	4143	53	541253	None
ND_NC0100	100	1.84	Neural Network (Specific Model)	11	0.865	311153	312.031305114638	4899148	0.57	4536	43	578395	None
ND_NC0101	100	1.18	Neural Network (Specific Model)	11	0.875	171339	318.369719981016	4590626	0.58	4214	49	418905	None
ND_NC0102	100	1.36	Neural Network (Specific Model)	11	0.874	296065	322.003995299647	4694425	0.58	4255	51	546843	None
ND_NC0103	100	4.58	Neural Network (Specific Model)	11	0.878	338185	325.911826452064	4764504	0.58	4287	29	901917	None
ND_NC0104	100	1.14	Neural Network (Specific Model)	11	0.869	275307	316.467565682399	4690952	0.58	4301	64	597336	None
ND_NC0105	100	1.06	Neural Network (Specific Model)	11	0.88	379600	321.294729378398	4628610	0.58	4231	40	603382	None
ND_NC0106	100	0.24	Neural Network (Specific Model)	11	0.875	413591	322.948944526264	4503380	0.58	4074	32	593691	None
ND_NC0108	100	2.22	Neural Network (Specific Model)	11	0.881	356625	322.220043051901	4578739	0.58	4181	46	605019	None
ND_NC0109	100	0.89	Neural Network (Specific Model)	11	0.883	553902	323.40623501199	4576513	0.58	4170	29	903536	None
ND_NC0110	100	0.38	Neural Network (Specific Model)	11	0.88	172043	320.97337491005	4554412	0.58	4169	58	431780	None
ND_NC0111	100	3.42	Neural Network (Specific Model)	11	0.882	391916	324.214517625232	4747581	0.58	4312	28	866304	None
ND_NC0112	100	2.08	Neural Network (Specific Model)	11	0.875	72428	323.326496541855	4639290	0.58	4193	116	332400	None
ND_NC0113	100	1.62	Neural Network (Specific Model)	11	0.866	174571	311.035374751271	4867777	0.57	4523	100	351543	None
ND_NC0114	100	1.29	Neural Network (Specific Model)	11	0.88	198984	320.9237913789	4584327	0.58	4199	61	553114	None
ND_NC0115	99.99	0.54	Neural Network (Specific Model)	11	0.874	178252	319.081087415046	4665232	0.58	4267	47	481225	None
ND_NC0116	100	1.88	Neural Network (Specific Model)	11	0.875	393309	323.592815814851	4593980	0.58	4148	28	660613	None
ND_NC0117	100	3.07	Neural Network (Specific Model)	11	0.876	181642	319.921774385881	4589120	0.58	4193	69	541712	None
ND_NC0118	100	2.74	Neural Network (Specific Model)	11	0.877	171304	320.571191267205	4612836	0.58	4214	81	442601	None
ND_NC0119	100	0.82	Neural Network (Specific Model)	11	0.88	565111	323.472524812394	4550136	0.58	4131	26	1561481	None
ND_NC0120	100	1.1	Neural Network (Specific Model)	11	0.875	134891	319.25707376058	4518239	0.58	4135	88	450520	None
ND_NC0121	100	0.46	Neural Network (Specific Model)	11	0.875	99832	316.523765144455	4649158	0.58	4292	115	355443	None
ND_NC0122	100	0.25	Neural Network (Specific Model)	11	0.879	438472	324.580483138005	4622010	0.58	4181	30	771358	None
ND_NC0123	100	0.25	Neural Network (Specific Model)	11	0.867	102920	313.728779395297	4837983	0.58	4465	167	347547	None
ND_NC0124	100	1.31	Neural Network (Specific Model)	11	0.879	98761	321.591104734577	4583606	0.58	4182	86	380678	None
ND_NC0125	100	2.43	Neural Network (Specific Model)	11	0.864	272892	312.770536943552	4727088	0.58	4358	64	637887	None
ND_NC0126	99.99	2.77	Neural Network (Specific Model)	11	0.871	337934	319.745696580216	4791675	0.58	4357	38	688329	None
ND_NC0127	100	1.35	Neural Network (Specific Model)	11	0.881	170356	320.39386068477	4611141	0.58	4235	69	545437	None
ND_NC0128	100	1.58	Neural Network (Specific Model)	11	0.882	309027	323.659314313114	4586069	0.58	4171	31	715455	None
ND_NC0129	100	2.38	Neural Network (Specific Model)	11	0.866	436325	311.301018149624	4863949	0.58	4518	50	1115774	None
ND_NC0130	100	1.49	Neural Network (Specific Model)	11	0.866	349675	311.003544528135	4853735	0.58	4514	50	1115337	None
ND_NC0131	99.99	0.9	Neural Network (Specific Model)	11	0.865	539356	309.856424825175	4906679	0.58	4576	52	1416132	None
ND_NC0132	100	0.26	Neural Network (Specific Model)	11	0.873	134067	317.58228747336	4599219	0.58	4223	81	354056	None
ND_NC0133	100	0.17	Neural Network (Specific Model)	11	0.881	387565	324.805467415182	4522431	0.58	4097	35	628511	None
ND_NC0134	100	0.57	Neural Network (Specific Model)	11	0.879	236518	320.149643705463	4594453	0.58	4210	46	534776	None
ND_NC0135	100	1.77	Neural Network (Specific Model)	11	0.881	277594	323.448863636364	4644000	0.58	4224	36	601404	None
ND_NC0136	100	0.25	Neural Network (Specific Model)	11	0.864	127790	310.93795620438	4727066	0.57	4384	74	383426	None
ND_NC0137	100	1.99	Neural Network (Specific Model)	11	0.88	356474	321.388592626942	4717398	0.58	4313	39	673428	None
ND_NC0138	100	1.03	Neural Network (Specific Model)	11	0.878	231014	317.408154020385	4779054	0.57	4415	49	541369	None
ND_NC0139	100	1.23	Neural Network (Specific Model)	11	0.882	527788	323.310394265233	4594498	0.58	4185	23	2080574	None
ND_NC0140	100	0.39	Neural Network (Specific Model)	11	0.875	273995	321.081100651702	4553763	0.58	4143	40	389409	None
ND_NC0141	100	1.51	Neural Network (Specific Model)	11	0.879	583358	321.766787878788	4523224	0.58	4125	24	1699723	None
ND_NC0142	100	0.53	Neural Network (Specific Model)	11	0.865	151258	310.310905396252	4756380	0.58	4429	72	282365	None
ND_NC0143	100	1.97	Neural Network (Specific Model)	11	0.879	389866	320.225927665571	4644936	0.58	4258	37	819623	None
ND_NC0144	100	0.24	Neural Network (Specific Model)	11	0.863	199820	312.854827664917	4757169	0.57	4381	95	382238	None
ND_NC0145	100	0.95	Neural Network (Specific Model)	11	0.878	262957	319.474209650582	4586516	0.58	4207	43	460264	None
ND_NC0146	99.98	4.45	Neural Network (Specific Model)	11	0.869	45222	287.005369415808	4600629	0.58	4656	221	156707	None
ND_NC0148	100	0.05	Neural Network (Specific Model)	11	0.869	319560	317.313415484771	4705867	0.58	4301	65	599941	None
ND_NC0149	100	0.04	Neural Network (Specific Model)	11	0.877	361471	321.420479302832	4534447	0.58	4131	36	638306	None
ND_NC0150	99.99	0.09	Neural Network (Specific Model)	11	0.872	671547	314.504867872044	4658699	0.58	4314	58	1033366	None
ND_NC0151	100	0.04	Neural Network (Specific Model)	11	0.877	234531	323.151634308184	4489804	0.58	4069	63	359299	None
ND_NC0152	100	0.01	Neural Network (Specific Model)	11	0.875	303874	319.938161693936	4550170	0.58	4156	48	563372	None
ND_NC0153	100	0.04	Neural Network (Specific Model)	11	0.877	139481	321.116408518877	4532504	0.58	4132	53	425631	None
ND_NC0154	100	0.04	Neural Network (Specific Model)	11	0.876	357751	324.801385110067	4490089	0.58	4043	42	874842	None
ND_NC0155	99.98	0.01	Neural Network (Specific Model)	11	0.877	250670	322.25030584781	4496065	0.58	4087	55	620094	None
ND_NC0156	99.99	0.08	Neural Network (Specific Model)	11	0.873	311790	317.193610377132	4531700	0.58	4163	65	645029	None
ND_NC0157	99.99	0.03	Neural Network (Specific Model)	11	0.88	146233	319.582495709733	4438470	0.58	4079	109	491077	None
ND_NC0158	99.87	0.03	Neural Network (Specific Model)	11	0.879	95359	313.737781036168	4373681	0.58	4092	227	271625	None
ND_NC0159	99.98	0.03	Neural Network (Specific Model)	11	0.879	122929	316.76964504284	4409387	0.58	4085	168	357967	None
ND_NC0160	99.99	0.03	Neural Network (Specific Model)	11	0.879	170617	319.237392373924	4420479	0.58	4065	121	393579	None
ND_NC0161	99.98	0.04	Neural Network (Specific Model)	11	0.879	100359	314.457037943696	4376487	0.58	4085	254	221118	None
ND_NC0162	100	0.03	Neural Network (Specific Model)	11	0.882	250102	322.984738372093	4528108	0.58	4128	60	809702	None
ND_NC0163	100	0.56	Neural Network (Specific Model)	11	0.883	60987	316.336756627657	4492420	0.58	4187	226	186508	None
ND_NC0164	99.98	0.07	Neural Network (Specific Model)	11	0.876	240013	318.403837044055	4598052	0.58	4222	75	557526	None
ND_NC0165	99.98	0.04	Neural Network (Specific Model)	11	0.879	248737	318.677941176471	4430549	0.58	4080	128	445410	None
ND_NC0166	99.98	0.02	Neural Network (Specific Model)	11	0.879	223510	321.205337286879	4430066	0.58	4047	89	443581	None
ND_NC0167	99.99	0.02	Neural Network (Specific Model)	11	0.88	162257	320.48275862069	4396619	0.58	4031	112	434246	None
ND_NC0168	99.99	0.03	Neural Network (Specific Model)	11	0.878	151881	316.413064833006	4393214	0.58	4072	155	357944	None
ND_NC0169	99.98	0.08	Neural Network (Specific Model)	11	0.876	138487	315.505921364282	4554278	0.58	4222	179	340604	None
ND_NC0170	99.97	0.03	Neural Network (Specific Model)	11	0.879	164116	317.642611683849	4407326	0.58	4074	139	389158	None
ND_NC0171	100	0.26	Neural Network (Specific Model)	11	0.876	453730	317.062577294089	4384555	0.57	4043	40	841600	None
ND_NC0172	99.99	0.11	Neural Network (Specific Model)	11	0.879	219791	315.981264637002	4598676	0.57	4270	82	618509	None
ND_NC0173	99.99	0.06	Neural Network (Specific Model)	11	0.879	235954	326.040040805917	4354515	0.58	3921	44	625837	None
ND_NC0174	100	0.03	Neural Network (Specific Model)	11	0.879	404564	323.313915034342	4330996	0.57	3931	44	902853	None
ND_NC0175	100	0.1	Neural Network (Specific Model)	11	0.878	241304	319.424300406601	4556874	0.58	4181	52	508113	None
ND_NC0176	100	0.06	Neural Network (Specific Model)	11	0.88	334039	322.107012860956	4515954	0.58	4121	48	757835	None
ND_NC0177	100	0.55	Neural Network (Specific Model)	11	0.875	118390	309.980724024448	4513311	0.57	4254	86	364190	None
ND_NC0178	100	0.06	Neural Network (Specific Model)	11	0.878	284237	318.775604986556	4449166	0.57	4091	46	814190	None
ND_NC0179	100	0.03	Neural Network (Specific Model)	11	0.879	320533	323.288221826507	4331349	0.57	3931	44	609318	None
ND_NC0180	100	0.5	Neural Network (Specific Model)	11	0.88	235543	320.471614647334	4438054	0.57	4069	46	916760	None
ND_NC0181	100	0.06	Neural Network (Specific Model)	11	0.877	165922	318.745476772616	4450293	0.57	4090	57	438064	None
ND_NC0182	100	0.05	Neural Network (Specific Model)	11	0.878	565737	319.090308370044	4448531	0.57	4086	36	1093150	None
ND_NC0183	100	0.05	Neural Network (Specific Model)	11	0.878	107767	318.548656867714	4288741	0.57	3946	82	248550	None
ND_NC0184	100	0.02	Neural Network (Specific Model)	11	0.879	905222	320.173740382229	4396771	0.57	4029	29	1363521	None
ND_NC0185	100	0.02	Neural Network (Specific Model)	11	0.879	331144	319.538994800693	4397632	0.57	4039	42	1021354	None
ND_NC0186	100	0.11	Neural Network (Specific Model)	11	0.876	158180	320.27801034228	4445753	0.57	4061	72	298838	None
ND_NC0187	100	0.06	Neural Network (Specific Model)	11	0.88	310220	321.74095654285	4510197	0.58	4119	57	407808	None
ND_NC0188	100	0.04	Neural Network (Specific Model)	11	0.874	4431067	321.911126995473	4628405	0.58	4197	2	4431067	None
ND_NC0189	100	0.04	Neural Network (Specific Model)	11	0.88	249224	319.242165242165	4577611	0.58	4212	82	999716	None
ND_NC0190	100	0.72	Neural Network (Specific Model)	11	0.867	278912	312.250484027106	4453586	0.58	4132	95	618777	None
ND_NC0191	100	0.06	Neural Network (Specific Model)	11	0.863	243660	311.976771468794	4613339	0.58	4262	105	446397	None
ND_NC0192	99.99	0.13	Neural Network (Specific Model)	11	0.873	4377544	314.579134137686	4559945	0.57	4227	3	4377544	None
ND_NC0193	99.99	3.33	Neural Network (Specific Model)	11	0.878	25008	301.8034513671	4595090	0.57	4462	352	86936	None
ND_NC0194	99.99	0.03	Neural Network (Specific Model)	11	0.875	640410	321.833083458271	4410562	0.57	4002	35	975852	None
ND_NC0195	99.97	0.31	Neural Network (Specific Model)	11	0.871	32115	298.008996851102	4553125	0.57	4446	470	107159	None
ND_NC0196	99.9	0.98	Neural Network (Specific Model)	11	0.873	28014	304.439047174218	4470927	0.57	4282	309	109406	None
ND_NC0197	99.99	0.48	Neural Network (Specific Model)	11	0.871	19249	298.538722826087	4534104	0.57	4416	466	76211	None
ND_NC0198	100	0.56	Neural Network (Specific Model)	11	0.878	77437	311.099356025759	4614753	0.57	4348	110	168619	None
ND_NC0199	99.99	0.54	Neural Network (Specific Model)	11	0.878	102839	312.28413028413	4612431	0.57	4329	91	359668	None
ND_NC0200	99.99	0.05	Neural Network (Specific Model)	11	0.88	73376	317.267887667888	4423513	0.57	4095	100	204266	None
ND_NC0201	100	0.11	Neural Network (Specific Model)	11	0.868	524453	307.653529666522	4902417	0.56	4618	67	1334544	None
ND_NC0202	99.99	0.55	Neural Network (Specific Model)	11	0.874	315927	317.501585752623	4460560	0.57	4099	76	595200	None
ND_NC0203	99.98	0.05	Neural Network (Specific Model)	11	0.879	190016	317.829304029304	4436137	0.57	4095	85	529838	None
ND_NC0204	99.97	0.07	Neural Network (Specific Model)	11	0.865	79085	313.689793866264	4321417	0.57	3978	137	251029	None
ND_NC0205	99.99	0.24	Neural Network (Specific Model)	11	0.877	403722	317.271211744215	4355098	0.57	4019	108	1290323	None
ND_NC0206	99.94	0.5	Neural Network (Specific Model)	11	0.878	60274	313.477534986496	4356298	0.57	4073	249	195933	None
ND_NC0207	99.99	0.04	Neural Network (Specific Model)	11	0.875	329525	319.832877393683	4400373	0.57	4021	71	1037014	None
ND_NC0208	99.99	0.11	Neural Network (Specific Model)	11	0.869	165482	309.740355029586	4512678	0.57	4225	331	329436	None
ND_NC0209	99.99	2.18	Neural Network (Specific Model)	11	0.874	123088	302.334482758621	4507755	0.57	4350	137	536370	None
ND_NC0210	99.99	0.31	Neural Network (Specific Model)	11	0.876	158030	314.467837704107	4343155	0.57	4042	75	340435	None
ND_NC0211	100	0.81	Neural Network (Specific Model)	11	0.878	106989	313.359922178988	4397372	0.57	4112	98	306869	None
ND_NC0212	99.99	0.59	Neural Network (Specific Model)	11	0.876	2343189	316.707429963459	4447238	0.57	4105	42	2343189	None
ND_NC0213	99.95	0.61	Neural Network (Specific Model)	11	0.874	107908	308.45955165692	4337441	0.57	4104	123	351082	None
ND_NC0214	99.99	0.04	Neural Network (Specific Model)	11	0.876	371376	321.867958195259	4314977	0.57	3923	51	607415	None
ND_NC0215	99.98	0.05	Neural Network (Specific Model)	11	0.876	320170	317.522252274404	4415521	0.57	4067	74	604995	None
ND_NC0216	99.97	0.78	Neural Network (Specific Model)	11	0.877	86142	307.766080462539	4363560	0.57	4151	110	302550	None
ND_NC0217	99.99	0.09	Neural Network (Specific Model)	11	0.876	276499	308.906285977435	4585359	0.57	4343	162	391554	None
ND_NC0218	99.99	0.6	Neural Network (Specific Model)	11	0.877	439013	315.206401506237	4573773	0.57	4249	73	819537	None
ND_NC0219	99.99	0.58	Neural Network (Specific Model)	11	0.875	54590	309.177567886659	4480324	0.57	4235	315	200800	None
ND_NC0220	99.99	0.27	Neural Network (Specific Model)	11	0.873	488096	313.242578849722	4632291	0.56	4312	60	1419883	None
ND_NC0221	99.98	0.8	Neural Network (Specific Model)	11	0.875	174823	310.498077847189	4422355	0.57	4162	101	489852	None
ND_NC0222	99.97	0.1	Neural Network (Specific Model)	11	0.87	71616	310.945467943994	4355820	0.57	4071	303	226531	None
ND_NC0223	99.98	0.69	Neural Network (Specific Model)	11	0.875	136858	313.340373877155	4418466	0.57	4119	180	321233	None
ND_NC0224	99.99	0.9	Neural Network (Specific Model)	11	0.88	406850	318.557762170017	4476049	0.57	4129	33	1260235	None
ND_NC0225	100	0.49	Neural Network (Specific Model)	11	0.875	587320	315.779656979514	4537236	0.57	4198	126	1084952	None
ND_NC0226	100	0.67	Neural Network (Specific Model)	11	0.877	293769	311.014265668849	4542449	0.57	4276	58	514381	None
ND_NC0227	99.99	0.08	Neural Network (Specific Model)	11	0.876	2300535	318.489800995025	4378626	0.57	4020	44	2300535	None
